email_id,category,overall_score,quality_grade,decision,semantic,task,key_facts,safety,completeness,tone,safety_gated
record_011,meeting_scheduling,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_179,info_request,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_079,refund_request,0.997,A+,excellent,1,1,1,1,1,0.95,false
record_176,info_request,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_139,approval_request,0.987,A+,excellent,0.957,1,1,1,1,0.95,false
record_270,confirmation,0.997,A+,excellent,1,1,1,1,1,0.95,false
record_107,project_update,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_282,cancellation,0.863,A,good,0.964,0.9,0.5,1,1,0.95,false
record_236,complaint,0.965,A+,excellent,1,0.9,0.95,1,1,1,false
record_249,thank_you,0.963,A+,excellent,1,0.9,0.95,1,1,0.95,false
record_040,interview_invitation,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_182,introduction,0.963,A+,excellent,1,0.9,0.95,1,1,0.95,false
record_159,document_request,0.987,A+,excellent,1,1,0.95,1,1,0.95,false
record_200,networking,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_088,refund_request,0.997,A+,excellent,1,1,1,1,1,0.95,false
record_078,refund_request,0.997,A+,excellent,1,1,1,1,1,0.95,false
record_298,technical_support,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_053,job_application,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_102,order_issue,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_279,cancellation,0.863,A,good,0.964,0.9,0.5,1,1,0.95,false
record_126,deadline_request,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_063,customer_support,0.963,A+,excellent,1,0.9,0.95,1,1,0.95,false
record_150,approval_request,0.987,A+,excellent,0.957,1,1,1,1,0.95,false
record_250,thank_you,0.963,A+,excellent,1,0.9,0.95,1,1,0.95,false
record_242,thank_you,0.963,A+,excellent,1,0.9,0.95,1,1,0.95,false
record_008,meeting_scheduling,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_268,confirmation,0.997,A+,excellent,1,1,1,1,1,0.95,false
record_207,networking,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
record_025,meeting_rescheduling,0.97,A+,excellent,1,0.9,1,1,1,0.9,false
record_048,job_application,0.973,A+,excellent,1,0.9,1,1,1,0.95,false
